summary,theme,countries,lemmatized_tokens
The us treasury in october imposed sanctions on key hamas group members operatives and financial facilitators in gaza and elsewhere including sudan trkiye algeria and qatar mr reimer said.,Corporate and Business Topics,"['Algeria', 'Israel', 'Qatar', 'Sudan']","['u', 'treasury', 'october', 'imposed', 'sanction', 'key', 'hamas', 'group', 'member', 'operative', 'financial', 'facilitator', 'gaza', 'elsewhere', 'including', 'sudan', 'trkiye', 'algeria', 'qatar', 'mr', 'reimer', 'said', 'u', 'sanction', 'financial', 'facilitator', 'multiple', 'country', 'pointed', 'vast', 'highly', 'sophisticated', 'network', 'however', 'scale', 'israel', 'campaign', 'aimed', 'destroying', 'militant', 'group', 'hamas', 'control', 'gaza', 'strip', 'main', 'source', 'financing', 'likely', 'greatly', 'diminished', 'conflict', 'said', 'hamas', 'longer', 'de', 'facto', 'authority', 'reduce', 'hamas', 'ability', 'generate', 'revenue', 'could', 'force', 'become', 'guerrillatype', 'organisation', 'said', 'mr', 'reimer']"
 australia was among a host of countries that imposed fresh sanctions on myanmar on february the third anniversary of the military coup the government added five businesses to its list of individuals sanctioned.,Corporate and Business Topics,"['Australia', 'Myanmar']","['australia', 'among', 'host', 'country', 'imposed', 'fresh', 'sanction', 'myanmar', 'february', 'third', 'anniversary', 'military', 'coup', 'government', 'added', 'five', 'business', 'list', 'individual', 'sanctioned', 'since', 'australia', 'targeted', 'two', 'bank', 'help', 'fund', 'myanmar', 'junta', 'arm', 'purchase', 'myanma', 'foreign', 'trade', 'bank', 'myanma', 'investment', 'commercial', 'bank', 'sanction', 'also', 'target', 'three', 'entity', 'asia', 'sun', 'group', 'asia', 'sun', 'trading', 'co', 'ltd', 'cargo', 'link', 'petroleum', 'logistics', 'co', 'ltd', 'role', 'supplying', 'jet', 'fuel', 'security', 'force', 'fuel', 'military', 'used', 'carry', 'unlawfully', 'indiscriminate', 'airstrikes', 'civilian']"
Starbucks violated federal labor law when it increased wages and offered new perks and benefits only to nonunion employees a national labor relations board judge found thursday.,Labor and Employment Issues ,[],"['starbucks', 'violated', 'federal', 'labor', 'law', 'increased', 'wage', 'offered', 'new', 'perk', 'benefit', 'nonunion', 'employee', 'national', 'labor', 'relation', 'board', 'judge', 'found', 'thursday', 'decision', 'latest', 'series', 'nlrb', 'ruling', 'finding', 'starbucks', 'violated', 'labor', 'law', 'effort', 'stop', 'union', 'forming', 'coffee', 'shop', 'issue', 'heart', 'case', 'whether', 'current', 'board', 'law', 'starbucks', 'entitled', 'explicitly', 'reward', 'employee', 'participating', 'union', 'activity', 'falsely', 'telling', 'worker', 'federal', 'labor', 'law', 'forced', 'take', 'action', 'wrote', 'administrative', 'law', 'judge', 'maralouise', 'anzalone']"
Two yearold children were found working at a louisville mcdonalds restaurant sometimes until am the us department of labor said t Tuesday. The revelation was part of an investigation into the child labor law violations in the southeast.,Labor and Employment Issues,['India'],"['two', 'yearold', 'child', 'found', 'working', 'louisville', 'mcdonalds', 'restaurant', 'sometimes', 'u', 'department', 'labor', 'said', 'tuesday', 'revelation', 'part', 'investigation', 'child', 'labor', 'law', 'violation', 'southeast', 'agency', 'also', 'found', 'three', 'franchisees', 'mcdonalds', 'location', 'kentucky', 'indiana', 'maryland', 'ohio', 'employed', 'child', 'work', 'legally', 'permitted', 'hour', 'perform', 'task', 'prohibited', 'law', 'young', 'worker', 'labor', 'department', 'said', 'statement', 'investigator', 'department', 'wage', 'hour', 'division', 'found', 'two', 'yearold', 'worker', 'louisville', 'mcdonalds', 'restaurant', 'among', 'many', 'violation', 'federal', 'labor', 'law', 'committed', 'three', 'kentucky', 'mcdonalds', 'franchise', 'operator', 'release', 'said', 'investigator', 'also', 'determined', 'two', 'yearold', 'child', 'employed', 'paid', 'sometimes', 'worked', 'late']"
 meta has been fined a recordbreaking billion billion by european union regulators for violating eu privacy laws. The move highlights ongoing uncertainty about how global businesses may legally transfer eu users data.,"Privacy, Security, and Cyber Matters ",[],"['meta', 'fined', 'recordbreaking', 'billion', 'billion', 'european', 'union', 'regulator', 'violating', 'eu', 'privacy', 'law', 'transferring', 'personal', 'data', 'facebook', 'user', 'server', 'united', 'state', 'european', 'data', 'protection', 'board', 'announced', 'fine', 'statement', 'monday', 'saying', 'followed', 'inquiry', 'facebook', 'fb', 'irish', 'data', 'protection', 'commission', 'chief', 'regulator', 'overseeing', 'metas', 'operation', 'europe', 'move', 'highlight', 'ongoing', 'uncertainty', 'global', 'business', 'may', 'legally', 'transfer', 'eu', 'user', 'data', 'server', 'overseas', 'eu', 'regulator', 'said', 'processing', 'storage', 'personal', 'data', 'united', 'state', 'contravened', 'europe', 'signature', 'data', 'privacy', 'law', 'known', 'general', 'data', 'protection', 'regulation', 'chapter', 'gdpr', 'set', 'condition', 'personal', 'data', 'transferred', 'third', 'country', 'international', 'organization']"
China's cyberspace regulator fined didi global just over billion yuan billion on thursday for violating cybersecurity and data laws putting an end to a yearlong investigation into the ridehailing giant.,"Privacy, Security, and Cyber Matters ",['China'],"['china', 'cyberspace', 'regulator', 'fined', 'didi', 'global', 'billion', 'yuan', 'billion', 'thursday', 'violating', 'cybersecurity', 'data', 'law', 'putting', 'end', 'yearlong', 'investigation', 'ridehailing', 'giant', 'cyberspace', 'administration', 'china', 'cac', 'said', 'statement', 'firm', 'breached', 'country', 'cybersecurity', 'law', 'data', 'security', 'law', 'personal', 'information', 'protection', 'law', 'fact', 'violation', 'law', 'regulation', 'clear', 'evidence', 'conclusive', 'circumstance', 'serious', 'nature', 'vile', 'statement', 'added', 'aside', 'billion', 'penalty', 'regulator', 'also', 'imposed', 'personal', 'fine', 'million', 'yuan', 'didis', 'chairman', 'ceo', 'cheng', 'wei', 'president', 'liu', 'qing', 'respectively', 'liu', 'qing', 'also', 'known', 'jean', 'liu', 'english']"
Zhang ruijin was also ordered to forfeit around s million of his assets to the state this amounts to about per cent of the s million worth of assets originally seized by the police. He is the fifth of accused persons to be dealt with in relation to the case.,Legal and Crime Stories ,['Singapore'],"['singapore', 'yearold', 'man', 'linked', 'singapore', 'largest', 'money', 'laundering', 'case', 'sentenced', 'month', 'jail', 'tuesday', 'apr', 'zhang', 'ruijin', 'also', 'ordered', 'forfeit', 'around', 'million', 'asset', 'state', 'amount', 'per', 'cent', 'million', 'worth', 'asset', 'originally', 'seized', 'police', 'fifth', 'accused', 'person', 'dealt', 'relation', 'case', 'zhang', 'pleaded', 'guilty', 'tuesday', 'two', 'count', 'forgeryrelated', 'offence', 'one', 'failing', 'satisfactorily', 'account', 'property', 'reasonably', 'suspected', 'benefit', 'criminal', 'conduct']"
Former austrian chancellor sebastian kurz has been convicted of making false statements to a parliamentary inquiry. The case marked the first time in more than years that a former Austrian chancellor had stood trial.,Legal and Crime Stories ,['Austria'],"['twelve', 'day', 'deliberation', 'vienna', 'court', 'delivered', 'verdict', 'trial', 'former', 'austrian', 'chancellor', 'sebastian', 'kurz', 'convicted', 'making', 'false', 'statement', 'parliamentary', 'inquiry', 'verdict', 'vienna', 'criminal', 'court', 'followed', 'fourmonth', 'trial', 'case', 'marked', 'first', 'time', 'year', 'former', 'austrian', 'chancellor', 'stood', 'trial', 'given', 'eightmonth', 'suspended', 'sentence', 'kurz', 'hailed', 'wunderkind', 'austrian', 'people', 'party', 'resigned', 'following', 'separate', 'corruption', 'probe', 'prosecutor', 'trial', 'opened', 'october', 'accused', 'yearold', 'giving', 'false', 'evidence', 'june', 'inquiry', 'regarding', 'role', 'setting', 'holding', 'company', 'named', 'oebag']"
 seagate technology has agreed to pay a million penalty in a settlement with us authorities for shipping over billion worth of hard disk drives to chinas huawei in violation of us export control laws.,Government Actions and Regulations,['China'],"['seagate', 'technology', 'agreed', 'pay', 'million', 'penalty', 'settlement', 'u', 'authority', 'shipping', 'billion', 'worth', 'hard', 'disk', 'drive', 'china', 'huawei', 'violation', 'u', 'export', 'control', 'law', 'department', 'commerce', 'said', 'wednesday', 'seagate', 'stx', 'sold', 'drive', 'huawei', 'august', 'september', 'despite', 'august', 'rule', 'restricted', 'sale', 'certain', 'foreign', 'item', 'made', 'u', 'technology', 'company', 'huawei', 'placed', 'entity', 'list', 'u', 'trade', 'blacklist', 'reduce', 'sale', 'u', 'good', 'company', 'amid', 'national', 'security', 'foreign', 'policy', 'concern', 'penalty', 'represents', 'latest', 'string', 'action', 'washington', 'keep', 'sophisticated', 'technology', 'china', 'may', 'support', 'military', 'enable', 'human', 'right', 'abuse', 'otherwise', 'threaten', 'u', 'security']"
The aviation regulator increased the mandatory weekly rest period for flight crew to hours from hours a decision that followed a review of pilot fatigue data after an indigo inglns pilot collapsed and died last year.,Government Actions and Regulations ,['India'],"['india', 'air', 'safety', 'watchdog', 'fined', 'tata', 'groupowned', 'air', 'india', 'million', 'rupee', 'violating', 'flight', 'duty', 'time', 'limitation', 'fatigue', 'management', 'system', 'flight', 'crew', 'january', 'aviation', 'regulator', 'increased', 'mandatory', 'weekly', 'rest', 'period', 'flight', 'crew', 'hour', 'hour', 'decision', 'followed', 'review', 'pilot', 'fatigue', 'data', 'indigo', 'inglns', 'open', 'new', 'tab', 'pilot', 'collapsed', 'died', 'august', 'last', 'year', 'flight', 'air', 'india', 'provide', 'adequate', 'weekly', 'rest', 'adequate', 'rest', 'ultralong', 'flight', 'adequate', 'rest', 'layover', 'flight', 'crew', 'thus', 'violating', 'revised', 'rule', 'directorate', 'general', 'civil', 'aviation', 'dgca', 'said', 'friday']"
 apple was hit with a billion euros s billion penalty from the european union after an investigation into allegations that it shut out musicstreaming rivals including spotify technology on its platforms.,Technology and Digital Trends,[],"['apple', 'hit', 'march', 'billion', 'euro', 'billion', 'penalty', 'european', 'union', 'investigation', 'allegation', 'shut', 'musicstreaming', 'rival', 'including', 'spotify', 'technology', 'platform', 'european', 'commission', 'also', 'ordered', 'cupertino', 'californiabased', 'firm', 'stop', 'preventing', 'music', 'streaming', 'apps', 'informing', 'user', 'cheaper', 'deal', 'away', 'apple', 'app', 'store', 'decade', 'apple', 'abused', 'dominant', 'position', 'market', 'distribution', 'music', 'streaming', 'apps', 'app', 'store', 'eu', 'antitrust', 'chief', 'margrethe', 'vestager', 'said', 'restricting', 'developer', 'informing', 'consumer', 'alternative', 'cheaper', 'music', 'service', 'available', 'outside', 'apple', 'ecosystem']"
