summary,theme,countries,lemmatized_tokens
Gotti italiano which is situated in amoy street in chinatown had put up a facebook post promoting the event titled hip hop mafioso in the days leading up to the march event its promotional poster featured american hiphop artists snoop dogg and tupac.,Community and Cultural Events,"['China', 'Italy', 'Singapore']","['italian', 'restaurant', 'apologised', 'criticised', 'italy', 'ambassador', 'singapore', 'trying', 'hold', 'mafiathemed', 'night', 'gotti', 'italiano', 'situated', 'amoy', 'street', 'chinatown', 'put', 'facebook', 'post', 'promoting', 'event', 'titled', 'hip', 'hop', 'mafioso', 'day', 'leading', 'march', 'event', 'promotional', 'poster', 'featured', 'american', 'hiphop', 'artist', 'snoop', 'dogg', 'tupac', 'facebook', 'post', 'march', 'ambassador', 'dante', 'brandi', 'said', 'mafia', 'something', 'italy', 'proud', 'people', 'died', 'suffered', 'importantly', 'people', 'still', 'dying', 'suffering', 'fight', 'said', 'mr', 'brandi']"
A halfdozen scholarly groups including the nations two largest associations of professional historians have criticized the museum of the american revolution in philadelphia for renting space to moms for liberty.,Community and Cultural Events,['Mali'],"['halfdozen', 'scholarly', 'group', 'including', 'nation', 'two', 'largest', 'association', 'professional', 'historian', 'criticized', 'museum', 'american', 'revolution', 'philadelphia', 'renting', 'space', 'mom', 'liberty', 'calling', 'dangerous', 'normalization', 'organization', 'support', 'book', 'ban', 'restriction', 'teaching', 'race', 'gender', 'letter', 'museum', 'monday', 'american', 'historical', 'association', 'called', 'museum', 'find', 'legal', 'way', 'cancel', 'rental', 'mom', 'liberty', 'organization', 'vigorously', 'advocated', 'censorship', 'harassment', 'history', 'teacher', 'banning', 'history', 'book', 'library', 'classroom', 'legislation', 'render', 'impossible', 'historian', 'teach', 'professional', 'integrity', 'without', 'risking', 'job', 'loss', 'penalty', 'letter', 'said']"
The national arts council nac supported the renaming of the theatre company. multilingual theatre company the theatre practices artistic director kuo jian hong had said then that no one theatre company can truly say it is singapore theatre company a letter to the st forum dated feb said it was regrettable.,Community and Cultural Events,['Singapore'],"['multilingual', 'theatre', 'company', 'theatre', 'practice', 'artistic', 'director', 'kuo', 'jian', 'hong', 'said', 'one', 'theatre', 'company', 'truly', 'say', 'singapore', 'theatre', 'company', 'letter', 'st', 'forum', 'dated', 'feb', 'said', 'regrettable', 'national', 'art', 'council', 'nac', 'supported', 'renaming', 'theatre', 'company', 'expressed', 'hope', 'nac', 'stc', 'would', 'reconsider', 'name', 'change', 'rama', 'chandran', 'founder', 'director', 'childrens', 'theatre', 'company', 'act', 'theatrics', 'taken', 'facebook', 'criticise', 'name', 'change', 'applauded', 'stcs', 'feb', 'announcement', 'social', 'medium', 'site', 'citing', 'diversity', 'group', 'across', 'affiliation', 'language', 'art', 'form', 'spoke', 'told', 'st', 'episode', 'important', 'theatre', 'community', 'singapore', 'find', 'voice', 'belief', 'voice', 'heard']"
 the weeknd angrily slammed the grammy awards calling them corrupt. The pop star walked away with zero nominations despite having multiple hits this year. The harsh words come less than a year after the recording academys ousted ceo.,community and cultural events,[],"['weeknd', 'angrily', 'slammed', 'grammy', 'award', 'calling', 'corrupt', 'pop', 'star', 'walked', 'away', 'zero', 'nomination', 'despite', 'multiple', 'hit', 'year', 'threetime', 'grammy', 'winner', 'criticised', 'recording', 'academy', 'tuesday', 'nov', 'severely', 'snubbed', 'despite', 'one', 'year', 'biggest', 'album', 'hour', 'tapped', 'super', 'bowl', 'halftime', 'headline', 'performer', 'also', 'topped', 'billboard', 'hot', 'chart', 'blinding', 'light', 'heartless', 'grammys', 'remain', 'corrupt', 'singer', 'said', 'twitter', 'owe', 'fan', 'industry', 'transparency', 'harsh', 'word', 'come', 'less', 'year', 'recording', 'academy', 'ousted', 'ceo', 'accused', 'group', 'determines', 'nomination', 'top', 'category', 'conflict', 'interest', 'engaging', 'transparent', 'selection', 'process']"
 hong kongborn actor and singer nicholas tse revealed on sunday sep that he is in the process of giving up his canadian citizenship. He made the announcement on the china central television cctv programme perception room.,Community and Cultural Events,['China'],"['hong', 'kongborn', 'actor', 'singer', 'nicholas', 'tse', 'revealed', 'sunday', 'sep', 'process', 'giving', 'canadian', 'citizenship', 'made', 'announcement', 'china', 'central', 'television', 'cctv', 'programme', 'perception', 'room', 'yearold', 'tse', 'whose', 'current', 'film', 'raging', 'fire', 'enjoying', 'great', 'success', 'moment', 'said', 'programme', 'come', 'across', 'online', 'comment', 'movie', 'people', 'questioning', 'nationality', 'saying', 'he', 'canadian', 'wondered', 'would', 'say', 'tse', 'said', 'adding', 'comment', 'made', 'heart', 'skip', 'beat', 'said', 'always', 'chinese', 'national', 'born', 'hong', 'kong', 'always', 'wanted', 'spread', 'chinese', 'culture', 'spirit', 'world', 'food', 'music', 'action', 'movie']"
The health sciences authority hsa said the agency issued the warning on nov after a man in his s who had bought euzema confidence revival cream online and used it for a year suffered from purpura.,Consumer Topics  ,['Malaysia'],"['eczema', 'cream', 'touted', 'natural', 'steroidfree', 'contains', 'excessive', 'level', 'arsenic', 'potent', 'steroid', 'health', 'science', 'authority', 'hsa', 'said', 'agency', 'issued', 'warning', 'nov', 'man', 'bought', 'euzema', 'confidence', 'revival', 'cream', 'online', 'used', 'year', 'suffered', 'purpura', 'purplish', 'red', 'spot', 'due', 'small', 'bleeds', 'skin', 'man', 'doctor', 'suspected', 'skin', 'reaction', 'caused', 'mineral', 'containing', 'arsenic', 'reported', 'case', 'hsa', 'malaysiabased', 'retail', 'website', 'euzemacom', 'cream', 'said', 'able', 'beat', 'eczema', 'good', 'powerful', 'natural', 'formula', 'steroidfree', 'contains', 'allnatural', 'herb', 'side', 'effect', 'also', 'sold', 'ecommerce', 'platform', 'carousell']"
Customer ashley beauchamp shared screenshots of the interactions on twitterx which have now been viewed more than one million times. When asked it happily produced a poem about how terrible they are as a company.,Consumer Topics,[],"['another', 'interaction', 'customer', 'asked', 'dpds', 'chatbot', 'write', 'haiku', 'useless', 'dpd', 'responded', 'poem', 'came', 'close', 'quite', 'matching', 'format', 'three', 'line', 'featuring', 'five', 'seven', 'five', 'syllable', 'customer', 'ashley', 'beauchamp', 'shared', 'screenshots', 'interaction', 'twitterx', 'viewed', 'one', 'million', 'time', 'parcel', 'delivery', 'firm', 'dpd', 'replaced', 'customer', 'service', 'chat', 'ai', 'robot', 'thing', 'mr', 'beauchamp', 'wrote', 'utterly', 'useless', 'answering', 'query', 'asked', 'happily', 'produced', 'poem', 'terrible', 'company', 'also', 'swore']"
Daylight coffee is a new entrant at amoy street food centre serving up specialty coffee at hawker prices. following in the footsteps of young hawkerpreneurs behind hipster kopi stalls.,Consumer Topics,[],"['following', 'footstep', 'young', 'hawkerpreneurs', 'behind', 'hipster', 'kopi', 'stall', 'generation', 'coffee', 'roaster', 'mad', 'roaster', 'daylight', 'coffee', 'new', 'entrant', 'amoy', 'street', 'food', 'centre', 'serving', 'specialty', 'coffee', 'hawker', 'price', 'shop', 'opened', 'october', 'cute', 'cartoon', 'logo', 'coffee', 'cup', 'googly', 'eye', 'trendylooking', 'stall', 'owned', 'cousin', 'jass', 'aaron', 'friend', 'han', 'asked', 'theyd', 'inspired', 'similar', 'hawker', 'coffee', 'stall', 'mentioned', 'jass', 'laugh', 'tell', 'dayssg', 'didnt', 'even', 'know', 'existed', 'despite', 'mad', 'roaster', 'located', 'hawker', 'centre', 'explains', 'simply', 'dont', 'care', 'competitor', 'scout', 'competitor', 'area']"
The singapore branch is an seater located in boat quay and is singapores first korean restaurant specialising in andong jjimdak korean braised chicken.,Consumer Topics,['Singapore'],"['actually', 'three', 'sub', 'brand', 'ilmiri', 'company', 'korea', 'singapore', 'outlet', 'take', 'name', 'ilmiri', 'korean', 'fusion', 'cuisine', 'according', 'managing', 'director', 'ilmiri', 'singapore', 'jessie', 'choi', 'wanted', 'give', 'singapore', 'customer', 'option', 'decided', 'combine', 'bestselling', 'menu', 'ilmiri', 'brand', 'singapore', 'branch', 'seater', 'located', 'boat', 'quay', 'singapore', 'first', 'korean', 'restaurant', 'specialising', 'andong', 'jjimdak', 'korean', 'braised', 'chicken', 'apparently', 'originated', 'city', 'andong', 'spicy', 'dish', 'featuring', 'chicken', 'braised', 'sweet', 'savoury', 'soyabased', 'sauce', 'spiked', 'dried', 'fresh', 'whole', 'chilli', 'pepper', 'usually', 'served', 'glass', 'noodle']"
The stall which is called orh huat bak chor mee is located at chinatown complex according to a post by hawker melvin chew on his facebook group hawkers united. It is helmed by the younger brother of wu ling zhen the owner of ah orh seafood restaurant.,Consumer Topics,['China'],"['new', 'bak', 'chor', 'mee', 'minced', 'meat', 'noodle', 'stall', 'try', 'opened', 'family', 'behind', 'famous', 'ah', 'orh', 'seafood', 'restaurant', 'jalan', 'bukit', 'merah', 'stall', 'called', 'orh', 'huat', 'bak', 'chor', 'mee', 'located', 'chinatown', 'complex', 'according', 'post', 'hawker', 'melvin', 'chew', 'facebook', 'group', 'hawker', 'united', 'helmed', 'younger', 'brother', 'wu', 'ling', 'zhen', 'owner', 'ah', 'orh', 'seafood', 'restaurant', 'wu', 'ling', 'zhens', 'youngest', 'son', 'run', 'ah', 'orh', 'teochew', 'fish', 'head', 'steamboat', 'hawker', 'stall', 'bedok', 'stall', 'menu', 'pretty', 'straightforward', 'three', 'type', 'noodle', 'minced', 'meat', 'pig', 'liver', 'fishball', 'bowl', 'upsized', 'portion', 'strangely', 'stall', 'also', 'add', 'beansprouts', 'bak', 'chor', 'mee', 'request', 'omit', 'order']"
